[COM16] Ready. Waiting for STM32 requests...
[COM21] Ready. Waiting for STM32 requests...
[COM21] WinAcc(1): 0.0000 | WinAvgLoss(1): 26.979774
[COM16] WinAcc(1): 1.0000 | WinAvgLoss(1): 19.857582
[COM21] WinAcc(1): 1.0000 | WinAvgLoss(1): 0.160827
[COM16] WinAcc(1): 1.0000 | WinAvgLoss(1): 0.000001
[COM21] WinAcc(1): 1.0000 | WinAvgLoss(1): 0.219226
[COM21] WinAcc(1): 1.0000 | WinAvgLoss(1): 11.174012
[COM21] WinAcc(1): 1.0000 | WinAvgLoss(1): 1.591748
[COM21] WinAcc(1): 0.0000 | WinAvgLoss(1): 60.819931
[COM16] WinAcc(1): 0.0000 | WinAvgLoss(1): 30.390259
[COM16] WinAcc(1): 1.0000 | WinAvgLoss(1): 0.155640
[COM21] WinAcc(1): 1.0000 | WinAvgLoss(1): 0.000000
[COM16] WinAcc(1): 1.0000 | WinAvgLoss(1): 6.596508
[COM21] WinAcc(1): 0.0000 | WinAvgLoss(1): 42.537376
[COM16] WinAcc(1): 1.0000 | WinAvgLoss(1): 0.000000
[COM21] WinAcc(1): 0.0000 | WinAvgLoss(1): 140.631714
[COM16] WinAcc(1): 0.0000 | WinAvgLoss(1): 64.268593
[COM21] WinAcc(1): 0.0000 | WinAvgLoss(1): 54.622368
[COM21] WinAcc(1): 0.0000 | WinAvgLoss(1): 54.237400
[COM16] WinAcc(1): 0.0000 | WinAvgLoss(1): 12.808941
[COM16] WinAcc(1): 1.0000 | WinAvgLoss(1): 6.786394
[COM21] WinAcc(1): 1.0000 | WinAvgLoss(1): 0.000000
[COM21] WinAcc(1): 1.0000 | WinAvgLoss(1): 0.021342
[COM16] WinAcc(1): 1.0000 | WinAvgLoss(1): 0.000231
[COM21] WinAcc(1): 1.0000 | WinAvgLoss(1): 0.288063
[COM16] WinAcc(1): 0.0000 | WinAvgLoss(1): 48.704220
[COM16] WinAcc(1): 1.0000 | WinAvgLoss(1): 0.148176
[COM21] WinAcc(1): 1.0000 | WinAvgLoss(1): 0.000354
[COM21] WinAcc(1): 1.0000 | WinAvgLoss(1): 0.000001
[COM16] WinAcc(1): 1.0000 | WinAvgLoss(1): 0.002519
[COM21] WinAcc(1): 0.0000 | WinAvgLoss(1): 48.248581
[COM16] WinAcc(1): 0.0000 | WinAvgLoss(1): 8.107834
[COM21] WinAcc(1): 1.0000 | WinAvgLoss(1): 0.001877
[COM16] WinAcc(1): 1.0000 | WinAvgLoss(1): 0.000004
[COM21] WinAcc(1): 0.0000 | WinAvgLoss(1): 25.894295
[COM21] WinAcc(1): 0.0000 | WinAvgLoss(1): 24.661209
[COM21] WinAcc(1): 0.0000 | WinAvgLoss(1): 59.860069
[COM16] WinAcc(1): 0.0000 | WinAvgLoss(1): 18.611656
[COM21] WinAcc(1): 0.0000 | WinAvgLoss(1): 45.195847
